,type,wg_size,attempt,wg_idx,true_val,exec_time,makespan,peak_resource_usage
0,basic,30,0,0,43,116.8074049949646,43,41
1,our,30,0,0,43,90.98631620407104,43,40
2,basic,30,0,1,47,133.2075490951538,47,42
3,our,30,0,1,47,132.67767572402954,47,42
4,basic,30,0,2,47,129.36816358566284,47,40
5,our,30,0,2,47,106.89415287971497,47,40
6,basic,30,0,3,62,75.61514353752136,62,43
7,our,30,0,3,62,76.33771085739136,62,43
8,basic,30,0,4,39,129.1153781414032,39,37
9,our,30,0,4,39,129.3480908870697,39,37
10,basic,30,0,5,48,128.89858961105347,48,42
11,our,30,0,5,48,127.67994379997253,48,42
12,basic,30,0,6,60,127.68602895736694,60,39
13,our,30,0,6,60,128.8149151802063,60,39
14,basic,30,0,7,53,130.65720796585083,53,43
15,our,30,0,7,53,125.71608591079712,53,44
16,basic,30,0,8,49,72.41113543510437,50,45
17,our,30,0,8,49,72.76881146430969,49,43
18,basic,30,0,9,45,73.11061954498291,45,39
19,our,30,0,9,45,73.00536346435547,45,39
20,basic,30,0,10,38,73.66890931129456,38,44
21,our,30,0,10,38,73.7421555519104,38,44
22,basic,30,0,11,51,74.21685075759888,51,49
23,our,30,0,11,51,74.13737964630127,51,49
24,basic,30,0,12,43,129.69561052322388,43,48
25,our,30,0,12,43,131.75357103347778,43,48
26,basic,30,0,13,43,130.0957169532776,43,52
27,our,30,0,13,43,130.59734892845154,43,52
28,basic,30,0,14,51,130.0954372882843,51,51
29,our,30,0,14,51,130.0768506526947,51,53
30,basic,30,0,15,47,128.67520427703857,47,53
31,our,30,0,15,47,129.88429856300354,47,53
32,basic,30,0,16,47,130.75064778327942,47,49
33,our,30,0,16,47,131.2446141242981,47,50
34,basic,30,0,17,54,91.25123929977417,54,36
35,our,30,0,17,54,72.57796430587769,54,36
36,basic,30,0,18,54,73.85858917236328,54,56
37,our,30,0,18,54,130.79842901229858,54,56
38,basic,30,0,19,43,131.78228855133057,43,48
39,our,30,0,19,43,132.5265052318573,43,48
40,basic,30,0,20,72,127.00941014289856,72,52
41,our,30,0,20,72,128.0887393951416,72,54
42,basic,30,0,21,40,131.14576363563538,40,54
43,our,30,0,21,40,130.82270741462708,40,57
44,basic,30,0,22,57,129.21183466911316,57,44
45,our,30,0,22,57,129.90283918380737,57,51
46,basic,30,0,23,98,120.83051252365112,98,40
47,our,30,0,23,98,122.81114840507507,98,40
48,basic,30,0,24,53,72.85434079170227,53,56
49,our,30,0,24,53,73.6000406742096,53,56
50,basic,30,0,25,54,72.06750321388245,54,53
51,our,30,0,25,54,72.45670914649963,54,53
52,basic,30,0,26,48,73.48136138916016,48,56
53,our,30,0,26,48,73.34413385391235,48,56
54,basic,30,0,27,54,72.11816930770874,54,53
55,our,30,0,27,54,72.73505115509033,54,53
56,basic,30,0,28,65,125.34939694404602,65,47
57,our,30,0,28,65,127.26286721229553,65,44
58,basic,30,0,29,59,129.21916818618774,59,51
59,our,30,0,29,59,129.64006114006042,59,51
60,basic,30,0,30,49,126.99442625045776,49,71
61,our,30,0,30,49,128.17526268959045,49,71
62,basic,30,0,31,60,127.68896126747131,60,58
63,our,30,0,31,60,127.07631850242615,60,58
64,basic,30,0,32,47,128.27178955078125,47,58
65,our,30,0,32,47,129.44682264328003,47,58
66,basic,30,0,33,57,127.95675110816956,57,74
67,our,30,0,33,57,128.30003666877747,57,74
68,basic,30,0,34,59,127.84180855751038,59,63
