,type,wg_size,attempt,wg_idx,true_val,exec_time,makespan,peak_resource_usage
0,basic,60,0,0,77,243.7293951511383,77,47
1,our,60,0,0,77,227.07606554031372,77,47
2,basic,60,0,1,68,257.5438733100891,68,56
3,our,60,0,1,68,213.00968599319458,68,54
4,basic,60,0,2,68,143.3787078857422,68,61
5,our,60,0,2,68,142.8089771270752,68,61
6,basic,60,0,3,91,139.86973333358765,91,54
7,our,60,0,3,91,137.87884163856506,91,53
8,basic,60,0,4,73,256.073609828949,73,47
9,our,60,0,4,73,254.11282396316528,73,47
10,basic,60,0,5,66,255.10929107666016,66,54
11,our,60,0,5,66,253.51934504508972,66,54
12,basic,60,0,6,72,256.7151610851288,75,52
13,our,60,0,6,72,256.6005628108978,74,52
14,basic,60,0,7,75,253.4512438774109,78,50
15,our,60,0,7,75,253.25539302825928,76,49
16,basic,60,0,8,85,252.64596962928772,85,51
17,our,60,0,8,85,253.62303137779236,85,49
18,basic,60,0,9,80,253.96520853042603,80,48
19,our,60,0,9,80,254.7509982585907,80,48
20,basic,60,0,10,65,254.03846740722656,65,70
21,our,60,0,10,65,257.60534262657166,65,68
22,basic,60,0,11,82,248.7466742992401,82,74
23,our,60,0,11,82,249.91436743736267,82,74
24,basic,60,0,12,78,143.7622787952423,78,71
25,our,60,0,12,78,143.36844730377197,78,70
26,basic,60,0,13,78,140.8361279964447,78,68
27,our,60,0,13,78,202.3431212902069,78,69
28,basic,60,0,14,54,194.7816150188446,54,75
29,our,60,0,14,54,262.98664116859436,54,74
30,basic,60,0,15,64,184.80862307548523,64,75
31,our,60,0,15,64,181.34341621398926,64,75
32,basic,60,0,16,53,257.0071339607239,53,71
33,our,60,0,16,53,256.98945116996765,53,70
34,basic,60,0,17,66,254.76312160491943,66,65
35,our,60,0,17,66,257.0495181083679,66,66
36,basic,60,0,18,65,253.48958539962769,65,78
37,our,60,0,18,65,257.3418872356415,65,81
38,basic,60,0,19,69,257.60964035987854,69,70
39,our,60,0,19,69,258.8408625125885,69,71
40,basic,60,0,20,60,252.6970283985138,60,73
41,our,60,0,20,60,254.09832406044006,60,74
42,basic,60,0,21,69,252.85754704475403,69,74
43,our,60,0,21,69,255.78518795967102,69,74
44,basic,60,0,22,105,240.81727528572083,105,65
45,our,60,0,22,105,246.5779309272766,105,65
46,basic,60,0,23,81,247.01318264007568,81,76
47,our,60,0,23,81,248.48343920707703,81,77
48,basic,60,0,24,83,248.3651783466339,83,86
49,our,60,0,24,83,250.100022315979,83,85
50,basic,60,0,25,57,260.45825004577637,57,85
51,our,60,0,25,57,261.9354348182678,57,84
52,basic,60,0,26,59,250.47173309326172,59,77
53,our,60,0,26,59,253.9425914287567,59,77
54,basic,60,0,27,55,254.46525311470032,55,66
55,our,60,0,27,55,254.26780557632446,55,66
56,basic,60,0,28,67,251.39989018440247,67,88
57,our,60,0,28,67,254.8328561782837,67,88
58,basic,60,0,29,69,250.59576296806335,69,63
59,our,60,0,29,69,251.8861906528473,69,63
60,basic,60,0,30,84,246.5219054222107,84,108
61,our,60,0,30,84,252.59032106399536,84,108
62,basic,60,0,31,60,250.2153902053833,60,114
63,our,60,0,31,60,254.37680220603943,60,114
64,basic,60,0,32,58,244.76417183876038,58,114
65,our,60,0,32,58,262.67672777175903,58,114
66,basic,60,0,33,65,243.20600986480713,65,83
67,our,60,0,33,65,204.1193084716797,65,83
68,basic,60,0,34,75,248.23011326789856,75,99
69,our,60,0,34,75,147.83581566810608,75,99
70,basic,60,0,35,71,243.05564641952515,71,94
71,our,60,0,35,71,156.0704402923584,71,94
72,basic,60,0,36,67,247.68030047416687,67,110
73,our,60,0,36,67,246.9732904434204,67,110
74,basic,60,0,37,65,150.9129011631012,65,105
75,our,60,0,37,65,140.1170632839203,65,105
76,basic,60,0,38,75,139.2905604839325,75,106
77,our,60,0,38,75,141.00914883613586,75,106
78,basic,60,0,39,77,140.27055406570435,77,80
79,our,60,0,39,77,140.0959062576294,77,80
80,basic,60,0,40,76,243.2933371067047,78,65
81,our,60,0,40,76,255.22753381729126,78,66
82,basic,60,0,41,106,251.44680881500244,111,61
83,our,60,0,41,106,222.63626050949097,107,61
84,basic,60,0,42,80,253.05841755867004,82,68
85,our,60,0,42,80,237.54293274879456,82,68
86,basic,60,0,43,72,198.8088526725769,78,62
87,our,60,0,43,72,252.72340536117554,77,62
88,basic,60,0,44,108,140.34680008888245,113,57
89,our,60,0,44,108,140.5816526412964,111,57
90,basic,60,0,45,74,147.5593695640564,76,70
91,our,60,0,45,74,146.56128096580505,75,70
92,basic,60,0,46,75,143.7657060623169,78,60
93,our,60,0,46,75,143.82220458984375,78,60
94,basic,60,0,47,78,144.80831503868103,81,62
95,our,60,0,47,78,144.34885716438293,80,63
96,basic,60,0,48,83,256.3772015571594,85,58
97,our,60,0,48,83,256.1548054218292,86,57
98,basic,60,0,49,81,146.0958116054535,85,72
99,our,60,0,49,81,146.42662954330444,86,72
100,basic,60,0,50,60,144.63172912597656,60,97
101,our,60,0,50,60,145.40489530563354,60,97
102,basic,60,0,51,67,196.78055047988892,68,88
